count,1,2,3,4,5,6,7,person,amount
257,6,13,27,31,32,37,4,4,"2,391,377,025"
258,14,27,30,31,38,40,17,4,"2,426,434,350"
259,4,5,14,35,42,45,34,2,"4,838,533,500"
260,7,12,15,24,37,40,43,4,"2,310,085,575"
261,6,11,16,18,31,43,2,3,"3,192,299,100"
262,9,12,24,25,29,31,36,2,"4,518,741,600"
263,1,27,28,32,37,40,18,6,"1,551,704,900"
264,9,16,27,36,41,44,5,7,"1,344,889,200"
265,5,9,34,37,38,39,12,8,"1,200,838,575"
266,3,4,9,11,22,42,37,3,"3,207,211,700"
267,7,8,24,34,36,41,1,3,"3,257,663,300"
268,3,10,19,24,32,45,12,7,"1,350,954,515"
269,5,18,20,36,42,43,32,5,"1,961,399,940"
270,5,9,12,20,21,26,27,5,"1,927,830,060"
271,3,8,9,27,29,40,36,6,"1,565,918,150"
272,7,9,12,27,39,43,28,9,"1,104,622,800"
273,1,8,24,31,34,44,6,3,"3,339,543,100"
274,13,14,15,26,35,39,25,4,"2,505,085,575"
275,14,19,20,35,38,40,26,1,"10,044,066,900"
276,4,15,21,33,39,41,25,3,"3,312,569,000"
277,10,12,13,15,25,29,20,3,"3,272,627,800"
278,3,11,37,39,41,43,13,3,"3,186,530,000"
279,7,16,31,36,37,38,11,5,"1,914,205,320"
280,10,11,23,24,36,37,35,7,"1,355,258,529"
281,1,3,4,6,14,41,12,6,"1,554,683,200"
282,2,5,10,18,31,32,30,7,"1,322,052,643"
283,6,8,18,31,38,45,42,3,"3,137,224,600"
284,2,7,15,24,30,45,28,3,"3,117,640,300"
285,13,33,37,40,41,45,2,3,"3,164,370,100"
286,1,15,19,40,42,44,17,3,"3,236,566,300"
287,6,12,24,27,35,37,41,7,"1,328,657,100"
288,1,12,17,28,35,41,10,4,"2,357,261,550"
289,3,14,33,37,38,42,10,0,0
290,8,13,18,32,39,45,7,13,"2,149,214,424"
291,3,7,8,18,20,42,45,7,"1,450,585,200"
292,17,18,31,32,33,34,10,14,"720,373,950"
293,1,9,17,21,29,33,24,6,"1,656,764,400"
294,6,10,17,30,37,38,40,4,"2,406,504,975"
295,1,4,12,16,18,38,8,0,0
296,3,8,15,27,30,45,44,8,"3,066,088,275"
297,6,11,19,20,28,32,34,2,"5,056,668,750"
298,5,9,27,29,37,40,19,1,"9,909,778,500"
299,1,3,20,25,36,45,24,7,"1,483,772,529"
300,7,9,10,12,26,38,39,12,"836,092,425"
301,7,11,13,33,37,43,26,7,"1,447,385,015"
302,13,19,20,32,38,42,4,2,"5,472,167,250"
303,2,14,17,30,38,45,43,6,"1,672,749,000"
304,4,10,16,26,33,41,38,6,"1,661,646,150"
305,7,8,18,21,23,39,9,5,"2,008,210,140"
306,4,18,23,30,34,41,19,5,"2,102,669,520"
307,5,15,21,23,25,45,12,4,"2,587,643,250"
308,14,15,17,19,37,45,40,1,"10,232,872,800"
309,1,2,5,11,18,36,22,11,"901,622,946"
310,1,5,19,28,34,41,16,8,"1,296,713,325"
311,4,12,24,27,28,32,10,8,"1,237,691,063"
312,2,3,5,6,12,20,25,15,"629,017,820"
313,9,17,34,35,43,45,2,6,"1,715,422,800"
314,15,17,19,34,38,41,2,6,"1,660,512,200"
315,1,13,33,35,43,45,23,8,"1,308,728,625"
316,10,11,21,27,31,39,43,6,"1,673,586,400"
317,3,10,11,22,36,39,8,4,"2,576,258,550"
318,2,17,19,20,34,45,21,9,"1,207,436,600"
319,5,8,22,28,33,42,37,5,"2,135,659,380"
320,16,19,23,25,41,45,3,2,"5,513,067,900"
321,12,18,20,21,25,34,42,6,"1,959,136,100"
322,9,18,29,32,38,43,20,6,"1,904,544,700"
323,10,14,15,32,36,42,3,8,"1,461,025,388"
324,2,4,21,25,33,36,17,6,"1,865,130,350"
325,7,17,20,32,44,45,33,6,"1,806,122,450"
326,16,23,25,33,36,39,40,6,"1,832,134,550"
327,6,12,13,17,32,44,24,12,"882,674,750"
328,1,6,9,16,17,28,24,6,"1,819,795,900"
329,9,17,19,30,35,42,4,6,"1,830,391,200"
330,3,4,16,17,19,20,23,9,"1,162,280,200"
331,4,9,14,26,31,44,39,5,"2,165,902,620"
332,16,17,34,36,42,45,3,8,"1,359,448,388"
333,5,14,27,30,39,43,35,7,"1,550,987,143"
334,13,15,21,29,39,43,33,7,"1,523,002,972"
335,5,9,16,23,26,45,21,5,"2,037,492,480"
336,3,5,20,34,35,44,16,6,"1,685,632,650"
337,1,5,14,18,32,37,4,8,"1,257,500,513"
338,2,13,34,38,42,45,16,3,"3,383,431,000"
339,6,8,14,21,30,37,45,9,"1,096,778,334"
340,18,24,26,29,34,38,32,7,"1,439,393,186"
341,1,8,19,34,39,43,41,7,"1,497,207,772"
342,1,13,14,33,34,43,25,3,"3,454,095,800"
343,1,10,17,29,31,43,15,6,"1,717,153,000"
344,1,2,15,28,34,45,38,7,"1,467,106,543"
345,15,20,23,29,39,42,2,2,"5,203,577,550"
346,5,13,14,22,44,45,33,5,"2,017,727,340"
347,3,8,13,27,32,42,10,7,"1,456,624,286"
348,3,14,17,20,24,31,34,3,"3,299,994,000"
349,5,13,14,20,24,25,36,3,"3,353,209,000"
350,1,8,18,24,29,33,35,9,"1,101,052,467"
351,5,25,27,29,34,36,33,4,"2,583,357,150"
352,5,16,17,20,26,41,24,6,"1,732,858,250"
353,11,16,19,22,29,36,26,2,"5,290,838,250"
354,14,19,36,43,44,45,1,5,"2,124,464,340"
355,5,8,29,30,35,44,38,5,"2,145,424,800"
356,2,8,14,25,29,45,24,9,"1,157,185,267"
357,10,14,18,21,36,37,5,2,"5,313,394,350"
358,1,9,10,12,21,40,37,3,"3,472,654,900"
359,1,10,19,20,24,40,23,8,"1,286,712,600"
360,4,16,23,25,35,40,27,3,"3,566,716,200"
361,5,10,16,24,27,35,33,7,"1,473,115,115"
362,2,3,22,27,30,40,29,6,"1,729,424,650"
363,11,12,14,21,32,38,6,4,"2,615,910,600"
364,2,5,7,14,16,40,4,4,"2,531,914,800"
365,5,15,21,25,26,30,31,1,"10,697,716,800"
366,5,12,19,26,27,44,38,2,"5,351,553,900"
367,3,22,25,29,32,44,19,7,"1,581,736,586"
368,11,21,24,30,39,45,26,7,"1,465,825,115"
369,17,20,35,36,41,43,21,6,"1,842,177,750"
370,16,18,24,42,44,45,17,7,"1,678,941,943"
371,7,9,15,26,27,42,18,7,"1,524,130,543"
372,8,11,14,16,18,21,13,9,"1,192,593,200"
373,15,26,37,42,43,45,9,4,"2,791,801,125"
374,11,13,15,17,25,34,26,2,"5,528,717,850"
375,4,8,19,25,27,45,7,7,"1,581,284,058"
376,1,11,13,24,28,40,7,6,"1,956,915,800"
377,6,22,29,37,43,45,23,3,"3,912,085,400"
378,5,22,29,31,34,39,43,5,"2,317,698,240"
379,6,10,22,31,35,40,19,7,"1,598,999,786"
380,1,2,8,17,26,37,27,4,"2,684,274,825"
381,1,5,10,12,16,20,11,19,"565,738,895"
382,10,15,22,24,27,42,19,6,"1,846,674,900"
383,4,15,28,33,37,40,25,3,"3,596,522,100"
384,11,22,24,32,36,38,7,3,"3,658,734,200"
385,7,12,19,21,29,32,9,7,"1,542,032,700"
386,4,7,10,19,31,40,26,10,"1,042,953,330"
387,1,26,31,34,40,43,20,4,"2,675,533,500"
388,1,8,9,17,29,32,45,4,"2,545,543,875"
389,7,16,18,20,23,26,3,5,"2,119,027,020"
390,16,17,28,37,39,40,15,1,"10,373,997,900"
391,10,11,18,22,28,39,30,1,"10,508,749,800"
392,1,3,7,8,24,42,43,6,"1,713,528,700"
393,9,16,28,40,41,43,21,8,"1,362,003,975"
394,1,13,20,22,25,28,15,1,"10,654,349,100"
395,11,15,20,26,31,35,7,7,"1,534,635,000"
396,18,20,31,34,40,45,30,2,"5,296,622,400"
397,12,13,17,22,25,33,8,3,"3,499,519,700"
398,10,15,20,23,42,44,7,4,"2,680,625,550"
399,1,2,9,17,19,42,20,8,"1,276,854,975"
400,9,21,27,34,41,43,2,4,"2,669,834,325"
401,6,12,18,31,38,43,9,9,"1,168,214,792"
402,5,9,15,19,22,36,32,4,"2,662,206,188"
403,10,14,22,24,28,37,26,5,"2,122,396,875"
404,5,20,21,24,33,40,36,3,"3,566,659,375"
405,1,2,10,25,26,44,4,3,"3,543,878,000"
406,7,12,21,24,27,36,45,5,"2,156,142,450"
407,6,7,13,16,24,25,1,7,"1,649,707,286"
408,9,20,21,22,30,37,16,5,"2,235,375,825"
409,6,9,21,31,32,40,38,4,"2,896,989,750"
410,1,3,18,32,40,41,16,9,"1,249,335,709"
411,11,14,22,35,37,39,5,12,"953,227,563"
412,4,7,39,41,42,45,40,7,"1,656,199,822"
413,2,9,15,23,34,40,3,4,"2,814,673,500"
414,2,14,15,22,23,44,43,1,"11,703,832,500"
415,7,17,20,26,30,40,24,8,"1,334,182,407"
416,5,6,8,11,22,26,44,10,"1,072,037,100"
417,4,5,14,20,22,43,44,4,"2,818,329,938"
418,11,13,15,26,28,34,31,8,"1,435,649,766"
